,age,job,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,y,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,contact_cellular,contact_telephone,contact_unknown,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown
158,4,1,0,3,1,0,5,8,1,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
159,3,1,0,3,1,0,5,8,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
160,3,7,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
161,2,9,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
162,3,7,0,3,1,0,5,8,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
163,3,1,0,3,1,0,5,8,3,5,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
164,3,9,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
165,1,0,0,3,1,0,5,8,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
166,4,4,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
167,4,9,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
168,4,0,0,3,0,0,5,8,4,2,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
169,3,1,0,2,0,0,5,8,2,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
171,3,7,0,3,1,1,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
172,4,2,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
173,2,5,0,3,0,0,5,8,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
174,4,0,0,3,1,0,5,8,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
175,4,0,0,3,1,0,5,8,3,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
176,3,10,0,3,1,0,5,8,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
177,2,9,0,3,1,0,5,8,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
178,4,7,0,3,1,0,5,8,3,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
179,4,4,0,3,1,0,5,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
180,2,7,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
181,2,9,0,3,1,0,5,8,4,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
183,2,9,0,3,1,0,5,8,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
184,2,0,0,3,1,0,5,8,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
185,4,5,0,3,1,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
186,3,7,0,4,1,0,5,8,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
187,4,4,0,4,0,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
188,2,1,0,3,1,1,5,8,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
189,2,4,0,2,1,0,5,8,3,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
190,4,5,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
191,2,4,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
192,4,4,0,3,1,0,5,8,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
193,3,0,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
194,2,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
195,2,1,0,3,1,0,5,8,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
196,2,7,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
197,3,9,0,3,0,1,5,8,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
198,3,4,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
199,4,1,0,3,1,0,5,8,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
200,3,0,0,3,1,0,5,8,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
201,3,6,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
202,3,1,0,3,1,0,5,8,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
203,2,8,0,3,1,0,5,8,3,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
204,2,7,0,2,1,0,5,8,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
205,3,7,0,4,1,0,5,8,2,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
206,3,4,0,3,1,1,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
207,3,4,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
208,2,7,0,3,1,0,5,8,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
209,3,5,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
210,2,1,0,2,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
211,4,5,0,3,1,0,5,8,2,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
212,4,3,0,3,0,0,5,8,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
213,2,7,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
214,4,1,0,2,1,0,5,8,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
215,3,9,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
216,3,11,0,3,0,0,5,8,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
217,4,10,0,3,0,0,5,8,2,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
218,3,3,0,3,0,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
219,2,4,0,3,1,1,5,8,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
220,3,10,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
221,1,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
222,2,2,0,2,1,0,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
223,4,5,0,2,0,1,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
225,3,1,0,3,1,0,5,8,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
226,4,4,0,3,1,0,5,8,2,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
227,2,4,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
228,2,1,0,3,0,0,5,8,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
229,4,7,0,3,1,0,5,8,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
230,3,1,0,2,1,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
231,2,7,0,3,1,0,5,8,4,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
232,4,2,0,3,1,0,5,8,4,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
233,4,1,0,3,0,0,5,8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
234,4,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
235,3,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
236,4,0,0,3,1,0,5,8,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
237,2,1,0,2,1,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
238,3,0,0,3,1,0,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
239,3,1,0,2,1,1,5,8,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
240,3,9,0,3,1,1,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
241,3,2,0,3,1,0,5,8,4,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
242,2,0,0,2,0,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
243,3,9,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
244,3,4,0,3,1,0,5,8,2,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
245,3,4,0,3,0,0,5,8,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
246,1,1,0,2,1,0,5,8,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
247,3,4,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
248,2,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
249,4,7,0,3,1,0,5,8,4,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
250,3,0,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
251,4,1,0,2,1,1,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
252,2,7,0,2,1,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
253,2,9,0,3,1,0,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
254,3,4,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
255,2,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
256,4,2,0,3,1,0,5,8,1,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
